trial,x,y,z,j1,j2,j3,j4,j5,success
21,0.2632874441477533,0.1238232124874331,0.1362030712748102,1.8264427813701332,-0.9148823933210224,0.6772883152589202,1.6024540498899296,0.0,True
22,-0.1145031607528667,0.0904036446997436,0.2741110367031633,0.4392090104520321,-1.1860018009319901,0.7574102772632614,1.2717346845893187,0.0,True
23,-0.1019147206552727,-0.2986489437472913,0.0835246190316486,1.288462433964014,-0.6180950102861971,0.24468970396555956,-0.5850466202315874,0.0,True
24,-0.2129183193892884,-0.0216009660364807,0.1531062854800633,-1.487552541308105,-0.6094514338765293,-0.28420924041420226,-0.758392624631524,0.0,True
25,0.0053920243390275,-0.2729788860401495,0.2932490652806139,-0.1468193675391376,-0.8392417158465832,0.023756056348793075,-1.6533467884757556,0.0,True
26,0.0017862303014546,0.1235195131610866,0.032501593613694,-1.184990563429892,1.3363661190960554,0.6697490269085392,-0.7894168491172604,0.0,True
27,0.0728541447551511,0.1319339604384995,0.2435014157535141,0.932312473654747,0.4600636870600283,0.19242208066862077,1.217113645863719,0.0,True
28,0.1746939986406658,0.0377394973134957,-0.0645231643161514,0.4556224602274596,-0.5435988034587352,0.224985908716917,-0.5183171476004643,0.0,True
29,0.0125546959881129,-0.1561056157621951,-0.0042111712356729,2.3719035401009023,-0.22874770313501358,0.9086157912388444,0.8613852754584512,0.0,True
30,0.0911412190052056,-0.0020601707507516,0.3871756609964315,-1.401419092901051,1.2271383670158684,0.6059002994559703,-0.4899728851858527,0.0,True
31,0.0722634061346165,0.3000341350953616,-0.0052699588194346,-0.9373146845027804,0.8979209123644978,0.13403123933821903,0.18173659848980606,0.0,True
32,0.0624630124319854,-0.0862528609529477,0.1837821415258864,0.4576225820928812,1.038338287035003,0.338517794222571,1.7603275198163464,0.0,True
33,-0.270176991120175,0.1583028114635259,0.2423958195243821,-2.1303498283959925,0.11985573568381368,0.1542883662274106,0.62611490748357,0.0,True
34,-0.0137994868070469,0.0703272569507496,0.2750186298890499,0.8664073110558093,-0.7251585486810654,0.24831187273375677,1.7603350649494678,0.0,True
35,0.1340377014921938,0.2480772709384873,-0.0853049146044382,1.126617109403014,-0.5551978235598654,-0.9664932682644575,-0.8121910285158083,0.0,True
36,0.286772998274293,0.0706120694842635,0.2443312809347487,2.7145334975793958,-1.1900500904303044,0.33962505843956015,-1.1152769068675115,0.0,True
37,-0.1920978431097876,0.1119656972329595,-0.0167457070979234,-1.0456917551346123,0.8804572387598455,-0.1338353163795547,0.8437425214424727,0.0,True
38,-0.0460161833180032,0.0870468326583381,0.1772261171802077,-1.9376823236234486,0.8012983649969101,0.8032944590551776,-0.021802967635448978,0.0,True
39,-0.1134133041720344,-0.1070099449913191,0.0655319915373176,-0.8192861136049032,0.3909439849667251,1.2767839103937146,-0.612967900603544,0.0,True
40,-0.0232972298242216,0.3146352187867079,-0.0470786306480258,2.359375418163836,0.7298585758544504,0.19078133325092494,0.9114962394861503,0.0,True
41,-0.0089840641109996,-0.0338746085834103,0.3082340338863161,-0.867528042756021,0.48661857610568404,-1.3184709287481382,-0.34500594822457065,0.0,True
42,0.077105993463295,0.1678358135190452,0.3753723400733583,0.17011058935895562,0.7414381932467222,-1.2471356940222904,0.7761279038665816,0.0,True
43,-0.0513816885943735,0.0739527509563895,-0.0601351266165702,-2.4758814540691674,1.2318250753451139,0.07391951747704284,1.5652191674220377,0.0,True
44,0.1024339617512828,-0.203343036090592,-0.0585685638523259,0.2369605950079858,0.3519269856624305,-0.8040450877742842,0.7234370716917328,0.0,True
45,-0.1263545504142691,-0.2404842079826217,-0.103626361867575,1.323177696671337,-0.8865735358558595,0.17938762858975665,0.16508652764605358,0.0,True
46,0.0795238789623876,0.0455025968130724,0.1700412575132807,2.358566528186202,-0.7937230698298663,-0.9760314874816686,-0.08537499004276472,0.0,True
47,0.1630518562927846,-0.0354614025530211,0.1461807635412232,0.8132379027083516,-0.9925682621542364,-0.07565154607873414,-0.32142841380788,0.0,True
48,-0.2544012197414322,0.1155647376944911,0.2671606888029851,-0.5899192714132367,0.26722752931527793,0.8776155896019189,0.5111460022162648,0.0,True
49,-0.0342975931166116,0.0336869411491487,-0.0950873977464791,0.1876431321725249,-1.0462435532826928,-0.9103853148641065,-0.5675013129343278,0.0,True
