x,y,z,qx,qy,qz,qw,joint1,joint2,joint3,joint4,fk_success,ik_success,planning_success,failure_reason
-0.0424586176237894,-0.1855828132368175,0.2095826206526432,-0.5925230549671724,0.7913814096225259,-0.0901647162953046,-0.1204251542312502,1.2853627555683556,-1.3625268490330134,-0.8390950006105141,-0.6379461735802667,1,1,0,PLANNING_FAILED
0.1241227569522973,0.0614493026371125,0.2780711104353474,0.9439985778870472,0.2417201536811182,0.2175649054683227,-0.0557096415368895,-2.640244876552444,-0.8016273409169095,-1.2070958547117856,-0.6798368765859619,1,1,0,PLANNING_FAILED
0.0482361473633465,0.0414599159178881,0.2782561487549389,0.31908618902844,-0.7026651748889566,0.2629525557505293,0.5790523373528885,0.8525305066149067,-0.4055034630897474,-0.4264751953610404,-0.93110919706864,1,1,0,PLANNING_FAILED
0.0242660449879569,-0.1145489113672835,-0.0538097667192995,0.5993966569838318,0.6670074898492927,-0.2957826025591128,0.3291463323582842,-1.464121524747998,1.309963763137482,0.3793026172151212,0.5355107907978465,1,1,0,PLANNING_FAILED
-0.0910446798590686,-0.1906559864273393,0.1844107544788322,0.2726922993153803,0.1625892109074691,0.8144783067701287,-0.4856220198790842,-2.0662968137409337,0.6873803938510474,-1.0261327680904078,-0.3073985287494325,1,1,0,PLANNING_FAILED
-0.1683794842891661,0.0118909716100013,0.103352520484804,-0.6236563859503848,0.0205340453702132,0.7810056426202856,0.0257148097273445,3.075765924241176,0.4199992795622784,0.115154256946474,0.8125343011328396,1,1,0,PLANNING_FAILED
-0.1171849312885765,0.1957207745548442,0.1293572772473384,0.6286050468944699,-0.3382801007514285,0.616676975686185,0.3318610795392328,2.15420214747492,0.8279997346387344,-0.8357605913040973,-1.5821921048721814,1,1,0,PLANNING_FAILED
-0.0141802639721065,0.0600296158586885,0.2970546377590872,0.0480247061827332,0.0733378865373998,-0.5457236070902498,0.8333672219728205,-1.1595426969199536,-0.6967773720728918,-0.8881497535996533,1.7604786516096496,1,1,0,PLANNING_FAILED
-0.041730125745389,0.0528145593442342,0.2000552981669535,0.1853339609315343,-0.0758365776396512,0.9067688377353138,0.3710396357931074,2.364787540751128,-0.5559663576045663,0.400772129355152,-0.248030923107362,1,1,0,PLANNING_FAILED
-0.0648209706557149,0.0457270372794357,0.2830716664642712,0.7082925961790194,-0.1948493782373619,0.6541921576167289,0.1799664938572368,2.6046793249844944,-0.1234444422378036,-0.7318475171556479,-0.7948770467630807,1,1,0,PLANNING_FAILED
0.0512795034973662,0.0159437858715699,0.2333318691864632,-0.0983887861396101,0.5039933753577228,0.1644104751968999,0.8421873425806358,0.3855873589029346,-0.7117751744311942,0.1952993716482673,1.5950099828210906,1,1,0,PLANNING_FAILED
0.0331011477781719,-0.0154526535037963,0.097744860104221,0.1096033699361758,0.335175247127776,-0.2908410002925091,0.8894133839561449,-0.6320852680115441,-0.84203772252815,1.3928590588358198,0.1699614977926247,1,1,0,PLANNING_FAILED
